"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 27 16:12:56 CST 2020","Sun Sep 27 16:12:59 CST 2020","2054","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_feature_buxian_click-]",""
"passed","Sun Sep 27 16:10:59 CST 2020","Sun Sep 27 16:11:01 CST 2020","2083","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_people_click-]",""
"passed","Sun Sep 27 16:13:51 CST 2020","Sun Sep 27 16:14:18 CST 2020","27041","","test_mo_shouye_about","TestShouYe","","","test_click_elements_004[sy_lianban_click-lianban_element]",""
"passed","Sun Sep 27 16:12:59 CST 2020","Sun Sep 27 16:13:03 CST 2020","3639","","test_mo_pro_list","TestProList","","","test_queriy_es_003",""
"passed","Sun Sep 27 16:12:26 CST 2020","Sun Sep 27 16:12:28 CST 2020","2084","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_subway_all_click-]",""
"skipped","Sun Sep 27 16:13:10 CST 2020","Sun Sep 27 16:13:10 CST 2020","0","","test_mo_shouye_about","TestShouYe","","","test_group_elements_002[sy_remen]","检查页面元素是否存在的用例"
"passed","Sun Sep 27 16:11:01 CST 2020","Sun Sep 27 16:11:03 CST 2020","2333","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_nump_click-{""page"":1,""pageSize"":20,""numBerMax"":15,""numBerMin"":8,""type"":0,""featureIds"":[],""cityId"":310100}]",""
"passed","Sun Sep 27 16:12:59 CST 2020","Sun Sep 27 16:12:59 CST 2020","533","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_clear_all-{""page"":1,""pageSize"":20,""type"":0,""cityId"":310100}]","{""page"":1,""pageSize"":20,""type"":0,""cityId"":310100}"
"passed","Sun Sep 27 16:12:31 CST 2020","Sun Sep 27 16:12:33 CST 2020","2086","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_type_buxian_click-]",""
"passed","Sun Sep 27 16:12:36 CST 2020","Sun Sep 27 16:12:39 CST 2020","2084","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_people_click-]",""
"passed","Sun Sep 27 16:12:28 CST 2020","Sun Sep 27 16:12:31 CST 2020","3081","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_type_click-{""page"":1,""pageSize"":20,""type"":0,""buildingType"":""写字楼"",""cityId"":310100}]","{""page"":1,""pageSize"":20,""type"":0,""buildingType"":""写字楼"",""cityId"":310100}"
